page_number,company_name,email_count,emails,phones,websites,founded_year,employees,profile_url
3,Avani Kumaon,1,rashmi@avani-kumaon.org,+919411105252,www.google.com; https://www.googletagmanager.com; https://s.pointerpro.com,1997,50-249,https://www.commonobjective.co/avani-kumaon-1
3,Phoenix Design Group,2,supreeya@phoenix-dg.com; richard@phoenix-dg.com,,https://www.google-analytics.com; https://www.google.com; http://intelligence.ethicalfashionforum.com,2013,,https://www.commonobjective.co/phoenix-design-group
3,L.A.M Bolivia,1,luisalbis@lambolivia.com,,www.google.com; https://www.googletagmanager.com; https://s.pointerpro.com,1989,10-49,https://www.commonobjective.co/l-a-m-bolivia
3,Masala Threads,2,emma.l.schuster@gmail.com; info@masalathreads.com,,www.masalathreads.com; www.google.com; https://www.googletagmanager.com,,5-9,https://www.commonobjective.co/masala-threads
3,IINOUIIO Ltd,1,john.parkinson@iinouiio.com,,www.google.com; https://mail.google.com; www.iinouiio.com,2019,1-4,https://www.commonobjective.co/iinouiio-ltd
3,Garthenor Organic Ltd,2,jonny@garthenor.com; hello@garthenor.com,,https://www.google-analytics.com; https://www.google.com; http://intelligence.ethicalfashionforum.com,1999,1-4,https://www.commonobjective.co/garthenor-organic-ltd
3,CFM Market Linkages Private Limited,1,nidhi@whycfm.org,+919999181746,https://www.google-analytics.com; https://www.google.com; http://intelligence.ethicalfashionforum.com,2009,,https://www.commonobjective.co/cfm-market-linkages-private-limited
3,EYAND     Ecological Yarn and Natural Dying,1,a.hupperts@majorityswim.net,,https://www.google-analytics.com; https://www.google.com; http://intelligence.ethicalfashionforum.com,2018,10-49,https://www.commonobjective.co/eyand
3,Progress Apparels (Bangladesh) Ltd.,1,sayed.nazim@pds-mfg.com,+8801713022648,https://www.google-analytics.com; https://www.google.com; https://sedexadvance.sedexonline.com,2017,1000+,https://www.commonobjective.co/progress-apparels-bangladesh-ltd-business
3,2nd Innings Handicrafts Pvt Ltd,2,info@2ndinningsindia.com; 4changert@gmail.com,+94770700841,https://www.google-analytics.com; https://widgets.weforum.org; https://www.google.com,2016,50-249,https://www.commonobjective.co/2nd-innings-handicrafts-pvt-ltd
3,Studio Sarmite,2,sarmite.polakova@gmail.com; mara.berzina.mara@gmail.com,+4917657968636,www.google.com; https://www.googletagmanager.com; https://s.pointerpro.com,2020,1-4,https://www.commonobjective.co/studio-sarmite-2
3,Säntis Textiles Pte Ltd,1,annabelle@saentis.com.sg,+66831119971,https://sourcingjournal.com; www.google.com; https://www.googletagmanager.com,2004,10-49,https://www.commonobjective.co/santis-textiles-pte-ltd-3
4,Maki Fair Trade,1,maki@fairtrade.ec,+593958609656,www.google.com; https://www.fairtrade.ec; https://www.googletagmanager.com,2016,10-49,https://www.commonobjective.co/maki-fair-trade
4,Materra,4,alex.aina@materra.tech; john.bertolaso@materra.tech; edward.hill@materra.tech; edward.brial@materra.tech,,www.google.com; https://www.googletagmanager.com; https://s.pointerpro.com,2019,5-9,https://www.commonobjective.co/materra
4,PAQOCHA,1,paqocha@gmail.com,0985964932,https://www.elcomercio.com; www.google.com; https://www.googletagmanager.com,2005,1-4,https://www.commonobjective.co/paqocha
4,TRAFINO S.A.,1,sales@trafino.net,,www.google.com; https://www.googletagmanager.com; https://s.pointerpro.com,1988,10-49,https://www.commonobjective.co/trafino-s-a
4,Offset Warehouse,1,charlie@offsetwarehouse.com,,http://www.offsetwarehouse.com; www.google.com; https://www.googletagmanager.com,2010,,https://www.commonobjective.co/offset-warehouse
4,Têxtil Nortenha,1,jbranco@textilnortenha.pt,,www.google.com; https://www.googletagmanager.com; https://s.pointerpro.com,1954,50-249,https://www.commonobjective.co/textil-nortenha
4,Padma Textiles Ltd.,3,glen@padmauk.com; floran@padmanl.com; mustafa@padmatr.com,,https://www.google-analytics.com; https://www.google.com; www.padmatextiles.com,1995,1000+,https://www.commonobjective.co/padma-textiles-ltd-1
4,YEVU FOUNDATION,2,anna@yevuclothing.com; albertadellor@yevuclothing.com,,www.google.com; https://www.googletagmanager.com; https://s.pointerpro.com,2012,10-49,https://www.commonobjective.co/yevu-foundation
4,Reverse Resources,1,ann@reverseresources.net,,http://www.reverseresources.net; www.google.com; https://www.googletagmanager.com,2014,10-49,https://www.commonobjective.co/reverse-resources
4,Visionise Fashion Design & Manufacturing Services,2,team@visionise.com.au; contact@visionise.com.au,,www.google.com; https://www.googletagmanager.com; https://s.pointerpro.com,,,https://www.commonobjective.co/visionise-fashion-design-manufacturing-services
4,Illariy - Threads 4 dreams,0,,,www.google.com; https://www.googletagmanager.com; https://s.pointerpro.com,2017,1-4,https://www.commonobjective.co/illariy-threads-4-dreams
4,Ammo Designs,2,ammodesigns1@gmail.com; vikibrooker@gmail.com,07594830399,www.google.com; https://www.googletagmanager.com; https://s.pointerpro.com,2014,5-9,https://www.commonobjective.co/ammo-designs
4,Citrus Fashions Pvt. Ltd.,1,info@citrusfashions.com,+919831031014,https://www.google-analytics.com; https://www.google.com; http://intelligence.ethicalfashionforum.com,2007,50-249,https://www.commonobjective.co/citrus-fashions-pvt-ltd
4,DEMCO,1,CGR@demcointer.com,,www.google.com; www.demcointer.com; https://www.googletagmanager.com,1991,1000+,https://www.commonobjective.co/demco
4,Pigeonwishes,1,pigeonwishes@gmail.com,07948183902,www.asahi-kasei.co.jp; www.google.com; https://www.googletagmanager.com,2018,1-4,https://www.commonobjective.co/pigeonwishes
4,Candiani,1,philippa@eco-age.com,,https://www.google-analytics.com; https://www.google.com; http://intelligence.ethicalfashionforum.com,1938,,https://www.commonobjective.co/candiani
4,NOVA KAERU,2,rodrigo@globo.nl; david@globalgreen.solutions,+31416272572,www.google.com; https://www.googletagmanager.com; www.novakaeru.com.br,2010,,https://www.commonobjective.co/nova-kaeru
4,AHA Bolivia,1,annaahabolivia@gmail.com,,https://www.google-analytics.com; https://www.google.com; www.ahabolivia.com,1992,50-249,https://www.commonobjective.co/aha-bolivia
4,SukkhaCitta,1,bertram@sukkhacitta.com,,www.google.com; https://www.googletagmanager.com; https://s.pointerpro.com,2016,5-9,https://www.commonobjective.co/sukkhacitta
4,ASLLI SAC,2,kmahr@aslli.com; krystel.mahr@asllisac.com,,https://www.google-analytics.com; https://www.google.com; http://www.aslli.com,2007,,https://www.commonobjective.co/aslli-sac
5,Fairsew,1,anneliese@fairsew.com,,www.google.com; https://www.googletagmanager.com; https://s.pointerpro.com,2013,10-49,https://www.commonobjective.co/fairsew
5,Avodah Global,2,karine@avodahglobal.org; liz@avodahglobal.org,,www.google.com; https://www.googletagmanager.com; https://s.pointerpro.com,2021,10-49,https://www.commonobjective.co/avodah-global
5,James Ince Umbrellas 1805,2,clare@inceumbrellas.com; richard@inceumbrellas.com,+4402089808143,www.inceumbrellas.com; www.google.com; https://www.googletagmanager.com,1805,5-9,https://www.commonobjective.co/james-ince-umbrellas-1805
5,NordShield®,2,emmi.kavander@nordshield.com; janne.hakonen@nordshield.com,,http://www.nordshield.com; www.google.com; https://www.googletagmanager.com,2016,10-49,https://www.commonobjective.co/nordshield-r
5,Prickly Thistle Scotland Ltd,1,clare@pricklythistlescotland.com,+447801593550,www.google.com; https://www.googletagmanager.com; https://s.pointerpro.com,2017,10-49,https://www.commonobjective.co/prickly-thistle-scotland-ltd
5,Casa Flor Designs,1,averie@casaflordesigns.com,,https://www.google-analytics.com; https://www.google.com; http://intelligence.ethicalfashionforum.com,,,https://www.commonobjective.co/casa-flor-designs
5,zyosh.com,1,pepe@zyosh.com,,https://www.google-analytics.com; https://www.google.com; http://intelligence.ethicalfashionforum.com,1984,10-49,https://www.commonobjective.co/zyosh-com
5,Thanapara Swallows Development Society,1,santo@thanaparaswallows.org,,https://www.google-analytics.com; www.thanaparaswallows.org; https://www.google.com,2000,50-249,https://www.commonobjective.co/thanapara-swallows-development-society-2
5,The Rajlakshmi Cotton Mills Pvt. Ltd.,1,vinay@rajlakshmi.com,+91 9831072180,https://www.google-analytics.com; https://www.google.com; http://www.rcm-organic.com,1934,250-999,https://www.commonobjective.co/the-rajlakshmi-cotton-mills-pvt-ltd
5,Plummy Fashions Ltd,1,fhoque@plummyfashions.com,+8801711536184,www.google.com; https://www.googletagmanager.com; https://s.pointerpro.com,2008,1000+,https://www.commonobjective.co/plummy-fashions-ltd
5,Yabal,1,yabalhandicrafts@gmail.com,,www.google.com; https://www.googletagmanager.com; https://s.pointerpro.com,2010,10-49,https://www.commonobjective.co/yabal
5,Someone Somewhere,1,enrique@someonesomewhere.mx,,www.google.com; https://www.googletagmanager.com; https://s.pointerpro.com,2014,10-49,https://www.commonobjective.co/someone-somewhere-1
5,Anydesign Srl,1,anne@anydesignsrl.com,0552280836,https://www.google-analytics.com; https://www.google.com; https://www.anydesignsrl.com,2016,,https://www.commonobjective.co/anydesign-srl
5,4tify,2,founders@4tify.co; laura@4tify.co,+12067950043,www.google.com; https://www.googletagmanager.com; https://s.pointerpro.com,2017,10-49,https://www.commonobjective.co/4tify
5,FUSH Clothing Manufacturer,1,nebojsa.durmanovic@fush.rs,,www.google.com; https://www.googletagmanager.com; https://s.pointerpro.com,2005,50-249,https://www.commonobjective.co/fush-clothing-manufacturer
5,Cricket Textile,1,gabriel.rivera@altitudsofom.com,+5218182594199,www.google.com; https://www.googletagmanager.com; https://s.pointerpro.com,2016,10-49,https://www.commonobjective.co/cricket-textile
5,PYRATEX®,1,niharika@pyratexfabrics.com,,www.google.com; https://www.googletagmanager.com; https://s.pointerpro.com,2014,,https://www.commonobjective.co/pyratex-r
5,SYMPHONY FABRICS (Organic and Sustainable Textiles),1,abhishek@symphonyfabrics.in,+919512304888,www.google.com; https://www.googletagmanager.com; https://s.pointerpro.com,,50-249,https://www.commonobjective.co/symphony-fabrics-organic-and-sustainable-textiles
5,Pratibha,1,info@pratibhasyntex.com,,https://www.google-analytics.com; https://www.google.com; www.pratibhasyntex.com,1997,1000+,https://www.commonobjective.co/pratibha
5,Fashion Enter Ltd,1,jenni@fashion-enter.com,02088093311,www.google.com; https://www.googletagmanager.com; https://s.pointerpro.com,2006,50-249,https://www.commonobjective.co/fashion-enter-ltd
6,Mila Fair Clothings Pvt Ltd,2,girish.krishnan@mila-clothing.com; stefan@3freunde.com,+91 9944425015,www.google.com; https://www.googletagmanager.com; https://s.pointerpro.com,2006,10-49,https://www.commonobjective.co/mila-fair-trade-clothing-company
6,Meenakshi (India) Limited,1,venus.gera@milgroup.in,+91 9406679822,https://acrobat.adobe.com; www.google.com; https://www.googletagmanager.com,1982,1000+,https://www.commonobjective.co/meenakshi-india-limited
6,AMADEU DESIGN,1,info@oyabarlas.com,,www.google.com; https://www.googletagmanager.com; https://s.pointerpro.com,2016,10-49,https://www.commonobjective.co/amadeu-design
6,Source For Future,1,post@indonaturals.com,,www.google.com; https://www.sourceforfuture.com; https://www.googletagmanager.com,2019,,https://www.commonobjective.co/source-for-future
6,Taytta Hats by Kurinty,1,marjorie@taytta.com,,www.kurinty.com; www.google.com; https://www.googletagmanager.com,2005,1-4,https://www.commonobjective.co/taytta-hats-by-kurinty
6,CI JEANS SAS,1,tnavarro@cijeans.com.co,+57 3137500193,http://www.cijeans.com.co; www.google.com; www.cijeans.com.co,1993,1000+,https://www.commonobjective.co/ci-jeans-sas
6,Recover™,1,social@recovertex.com,+34966568044,https://www.google-analytics.com; https://www.google.com; http://intelligence.ethicalfashionforum.com,1947,50-249,https://www.commonobjective.co/recover-2
6,TO THE MARKET,4,gracek@tothemarket.com; sharifaa@tothemarket.com; danielle@tothemarket.com; cindy@tothemarket.com,,www.google.com; https://www.googletagmanager.com; https://s.pointerpro.com,,,https://www.commonobjective.co/to-the-market
6,OLMETEX SPA,1,giorgia@olmetex.it,0314630211,https://www.google-analytics.com; https://www.google.com; www.olmetex.it,1954,50-249,https://www.commonobjective.co/olmetex-spa
6,Niko International,2,sales@nikointernational.com; dvc.16@hotmail.com,,www.nikointernational.com; www.google.com; https://www.googletagmanager.com,2008,50-249,https://www.commonobjective.co/niko-international
6,Mahaguthi Craft with Conscience,1,samir.mahaguthi@gmail.com,,www.google.com; https://www.googletagmanager.com; https://s.pointerpro.com,1984,50-249,https://www.commonobjective.co/mahaguthi-craft-with-conscience
6,Oriental Crafts India,1,orientalcraftsindia@gmail.com,+91 9653089371,https://www.google-analytics.com; https://www.google.com; http://intelligence.ethicalfashionforum.com,1997,,https://www.commonobjective.co/special-effect
6,Charming Trim & Packaging,1,birgit.harth@charmingtrim.com,,www.google.com; https://www.googletagmanager.com; https://s.pointerpro.com,1991,1000+,https://www.commonobjective.co/charming-trim-packaging
6,SARP JEANS,1,gizem@sarpjeans.com,+905324008902,www.google.com; https://www.googletagmanager.com; https://s.pointerpro.com,1984,50-249,https://www.commonobjective.co/sarp-jeans
6,"SINGTEX Industrial Co.,Ltd",1,marketing@singtex.com,,www.google.com; https://www.googletagmanager.com; https://s.pointerpro.com,1989,50-249,https://www.commonobjective.co/singtex-industrial-co-ltd
6,CM Garmindo,1,start@cmgarmindo.com,+6282146811330,www.google.com; https://www.googletagmanager.com; https://s.pointerpro.com,2012,10-49,https://www.commonobjective.co/cm-garmindo
6,Saheli Women,2,madhu@iphdindia.com; saheliwomenoffice@gmail.com,,www.google.com; http://saheliwomen.com; https://www.googletagmanager.com,2015,50-249,https://www.commonobjective.co/saheli-women
6,Sabahar,1,sophie@sabahar.com,+251911255453,www.sabahar.com; https://www.google-analytics.com; https://www.google.com,2006,50-249,https://www.commonobjective.co/sabahar-3
6,SourcingStories Ltd.,1,info@sourcingstories.com,,https://www.google-analytics.com; https://www.google.com; http://intelligence.ethicalfashionforum.com,,,https://www.commonobjective.co/sourcingstories-ltd
6,Camco,1,summer@camcoclothing.com.cn,,https://www.google-analytics.com; https://www.google.com; http://intelligence.ethicalfashionforum.com,2009,50-249,https://www.commonobjective.co/camco
7,Chaiim Humanitarian Clothing,2,rdsouza@chaiimfoundation.org; helena@chaiimfoundation.org,+91 9819710759,www.google.com; https://www.googletagmanager.com; https://s.pointerpro.com,2013,10-49,https://www.commonobjective.co/chaiim-humanitarian-clothing
7,TiJuD | Apparel & Allied Services,1,joseph.israele@outlook.com,,www.google.com; https://www.googletagmanager.com; https://s.pointerpro.com,2018,10-49,https://www.commonobjective.co/tijud-clothing-india
7,Echo Sourcing Ltd,1,sh@echosourcing.com,,www.google.com; https://www.googletagmanager.com; http://www.oeko-tex.com,1996,1000+,https://www.commonobjective.co/echo-sourcing-ltd
7,Reflect Studio,1,ece@reflectstudio.com,,https://www.google-analytics.com; http://bcorporation.net; https://www.google.com,2018,50-249,https://www.commonobjective.co/reflect-studio
7,Cojolya Association of Maya Women Weavers,1,cojolya@cojolya.org,,https://www.google-analytics.com; http://cojolya.org; https://www.google.com,1983,10-49,https://www.commonobjective.co/cojolya-association-of-maya-women-weavers
7,Mind Balance Productions,1,mind.balance.productions@gmail.com,,https://www.google-analytics.com; https://www.google.com; http://intelligence.ethicalfashionforum.com,2024,,https://www.commonobjective.co/ethical-nomads-1
7,Indigenous Apparels Private Limited,1,vincent@indigenousindustries.com,,www.google.com; https://www.googletagmanager.com; https://s.pointerpro.com,2014,10-49,https://www.commonobjective.co/indigenous-apparels-private-limited
7,Hi-Life Labels,1,mmr@hilifelabels.com,+918122388707,https://www.google-analytics.com; www.hilifelabels.com; https://www.google.com,1987,50-249,https://www.commonobjective.co/hi-life-labels
7,MetaWear Organic,2,marykate@ecofashioncorp.com; marcizaroff@gmail.com,,www.google.com; https://www.googletagmanager.com; https://s.pointerpro.com,2012,10-49,https://www.commonobjective.co/metawear-organic
7,Plexus Cotton,1,paige.earlam@plexus-cotton.com,+441516508888,www.google.com; https://www.googletagmanager.com; https://s.pointerpro.com,,,https://www.commonobjective.co/plexus-cotton
7,Sealuna,1,office@sealuna.at,,www.google.com; https://www.googletagmanager.com; https://s.pointerpro.com,2013,1-4,https://www.commonobjective.co/sealuna
7,Hung Yen Knitting and Dyeing Co Ltd,1,sara@hungyen-kd.com,,https://www.google-analytics.com; https://www.google.com; http://intelligence.ethicalfashionforum.com,2008,250-999,https://www.commonobjective.co/hung-yen-knitting-and-dyeing-co-ltd
7,Banana Moon Clothing,1,alexgrace@bananamoon.co.uk,,www.banana-moon-clothing.co.uk; www.google.com; https://www.googletagmanager.com,1993,10-49,https://www.commonobjective.co/banana-moon-clothing
7,Brij Designs,1,kr@brijdesigns.com,,www.brijdesigns.com; https://www.google-analytics.com; https://www.google.com,2008,250-999,https://www.commonobjective.co/brij-designs-1
7,Gisella de Chávez,1,gimazam@yahoo.com,+593967854443,https://www.google-analytics.com; https://www.google.com; http://intelligence.ethicalfashionforum.com,2004,10-49,https://www.commonobjective.co/gisella-de-chavez
7,Justus Of Lyons,1,marcoestebangarcia@hotmail.com,,www.latam.justusoflyons.com; https://www.google-analytics.com; https://www.google.com,2011,5-9,https://www.commonobjective.co/justus-of-lyons
7,artSIMIATUG LLAKTA,1,simiatugllakta.bolivar@gmail.com,,www.youtube.com; https://www.google-analytics.com; https://www.google.com,2000,,https://www.commonobjective.co/artsimiatug-llakta
7,Once Upon a time in a land far far away Ltd,2,juneknotts1@gmail.com; susiehughes@onceuponatime.global,+44 7920195123,www.google.com; https://www.googletagmanager.com; https://s.pointerpro.com,2019,1-4,https://www.commonobjective.co/once-upon-a-time-in-a-land-far-far-away-ltd
7,Beyond Leather Materials,4,fruzsina@beyondleather.dk; hannah@beyondleather.dk; mikael@beyondleather.dk; anna@beyondleather.dk,,www.google.com; https://www.googletagmanager.com; http://www.explore-leap.com,2017,,https://www.commonobjective.co/beyond-leather-materials-2
7,ao textiles,2,pennywalsh@dyework.co.uk; info@emmadarcey.com,,https://www.google-analytics.com; https://www.google.com; http://intelligence.ethicalfashionforum.com,2006,,https://www.commonobjective.co/ao-textiles
8,Ventile,2,daniel@ventile.co.uk; rhian@karolmarketing.com,,https://www.google-analytics.com; https://www.google.com; http://intelligence.ethicalfashionforum.com,1939,,https://www.commonobjective.co/ventile
