index,company_name,page_number,email_count,emails,phones,profile_url,timestamp,websites,founded_year,employees,governance
25,XDD Denim,17,2,nicohonghong@hotmail.com; kelvin@xdddenim.com,,https://www.commonobjective.co/xdd-denim,2025-08-22T16:04:08.277577,,,,
26,Deblina Basu,17,1,abhivyakti.garments@gmail.com,+91 9891330426,https://www.commonobjective.co/deblina-basu,2025-08-22T16:04:08.277578,,,,
27,Circular Fiber Tech,17,1,elena@circularfibertech.com,,https://www.commonobjective.co/circular-fiber-tech,2025-08-22T16:04:08.277580,,,,
28,DGrade FZ-LLC,17,1,rebecca.rich@dgrade.com,,https://www.commonobjective.co/dgrade-fz-llc,2025-08-22T16:04:08.277581,,,,
29,RC SOURCING,18,1,Hamza@ramadancorporation.com,+923018265252,https://www.commonobjective.co/rc-sourcing,2025-08-22T16:04:08.277583,,,,
30,Marasim,18,1,nidhi@marasim.co,,https://www.commonobjective.co/marasim,2025-08-22T16:04:08.277584,,,,
31,Vicunha,18,1,m.carolina@vicunha.com.br,,https://www.commonobjective.co/vicunha,2025-08-22T16:04:08.277585,,,,
32,Cara & Baldi,18,1,paula.machado.grajales@gmail.com,,https://www.commonobjective.co/cara-&-baldi,2025-08-22T16:04:08.277587,,,,
33,Vinylife by CAÍMI,18,1,mchacon@caimi.cl,+56988035627,https://www.commonobjective.co/vinylife-by-caími,2025-08-22T16:04:08.277589,,,,
34,COYTEX.S.A.S,18,1,director.comercial@coytex.com.co,+573172307914,https://www.commonobjective.co/coytexsas,2025-08-22T16:04:08.277591,,,,
35,Enka,18,1,wilson.montoya@enka.com.co,,https://www.commonobjective.co/enka,2025-08-22T16:04:08.277592,,,,
36,Hainsworth,18,1,julieroberts@awhainsworth.co.uk,+441133955638,https://www.commonobjective.co/hainsworth,2025-08-22T16:04:08.277594,,,,
37,YellowBag Foundation,18,1,krishnan@theyellowbag.org,+919884952604,https://www.commonobjective.co/yellowbag-foundation,2025-08-22T16:04:08.277596,,,,
38,Sheer by Nature,18,1,johannaproudlove@gmail.com,,https://www.commonobjective.co/sheer-by-nature,2025-08-22T16:04:08.277598,,,,
