index,company_name,page_number,email_count,emails,phones,profile_url,timestamp,websites,founded_year,employees,governance
22,LULEA By Cheasneau,21,1,chesneau.edmond@gmail.com,+254711408028,https://www.commonobjective.co/lulea-by-cheasneau,2025-08-22T16:08:02.164203,,,,
23,pielleitalia,21,1,giuseppe.pezzini@pielleitalia.com,+39035335480,https://www.commonobjective.co/pielleitalia,2025-08-22T16:08:02.164204,,,,
24,Artisan Fashion,21,1,lily@artisan.fashion,,https://www.commonobjective.co/artisan-fashion,2025-08-22T16:08:02.164206,,,,
25,London Pattern Bureau,21,1,renee@londonpatternbureau.co.uk,,https://www.commonobjective.co/london-pattern-bureau,2025-08-22T16:08:02.164207,,,,
26,Sourcing Sustainably Limited,21,1,maeve@sourcingsustainably.com,+447956091444,https://www.commonobjective.co/sourcing-sustainably-limited,2025-08-22T16:08:02.164209,,,,
27,SOKO Kenya,21,1,jo@soko-kenya.com,,https://www.commonobjective.co/soko-kenya,2025-08-22T16:08:02.164210,,,,
28,Nisha Silk Exports,21,1,anirudh@nishasilkexports.com,+919986688444,https://www.commonobjective.co/nisha-silk-exports,2025-08-22T16:08:02.164212,,,,
29,Biothread,21,1,felix@biothread.co.uk,+447896744697,https://www.commonobjective.co/biothread,2025-08-22T16:08:02.164213,,,,
30,VISHH - Artisan Sourcing & Production,21,1,isha@vishh.com,,https://www.commonobjective.co/vishh---artisan-sourcing-&-production,2025-08-22T16:08:02.164215,,,,
31,"SS Printing, LLC",21,1,ssprintingusa3@gmail.com,+1 2148683934,https://www.commonobjective.co/ss-printing-llc,2025-08-22T16:08:02.164218,,,,
32,Nguyen Khanh Phuong fashion company limited,21,1,thaoho@nkp.vn,+84934148678,https://www.commonobjective.co/nguyen-khanh-phuong-fashion-company-limited,2025-08-22T16:08:02.164219,,,,
33,Studio Tolsta,21,1,hello@studiotolsta.com,,https://www.commonobjective.co/studio-tolsta,2025-08-22T16:08:02.164221,,,,
34,Origin Colombia,21,1,hello@origincolombia.com,,https://www.commonobjective.co/origin-colombia,2025-08-22T16:08:02.164222,,,,
35,CALENDULA PARK - CP,21,1,sr@thecalendulapark.com,,https://www.commonobjective.co/calendula-park---cp,2025-08-22T16:08:02.164224,,,,
36,"VSG - Confeção e Comércio de Têxteis, Un. Lda",21,1,fatima@vsgfashion.net,+351961329105,https://www.commonobjective.co/vsg---confeção-e-comércio-de-têxteis-un-lda,2025-08-22T16:08:02.164227,,,,
37,AJG Fashion Consulting,22,1,niki@alicejamesglobal.com,,https://www.commonobjective.co/ajg-fashion-consulting,2025-08-22T16:08:02.164229,,,,
38,INTEX,22,1,marina@intexfashion.com,,https://www.commonobjective.co/intex,2025-08-22T16:08:02.164230,,,,
39,Sourcing in Peru,22,1,evelyn.botton@gmail.com,,https://www.commonobjective.co/sourcing-in-peru,2025-08-22T16:08:02.164232,,,,
40,Half Price Packaging,22,1,william@halfpricepackaging.com,,https://www.commonobjective.co/half-price-packaging,2025-08-22T16:08:02.164233,,,,
41,Kullvi Whims,22,1,kullviwhims@gmail.com,,https://www.commonobjective.co/kullvi-whims,2025-08-22T16:08:02.164235,,,,
42,Nature Coatings,22,1,lara@naturecoatingsinc.com,,https://www.commonobjective.co/nature-coatings,2025-08-22T16:08:02.164236,,,,
43,PlanetCare,22,2,marjana.lavric@planetcare.org; omaima.doukkane@planetcare.org,,https://www.commonobjective.co/planetcare,2025-08-22T16:08:02.164237,,,,
44,AForce London,22,1,tim@aforce.co.uk,,https://www.commonobjective.co/aforce-london,2025-08-22T16:08:02.164239,,,,
45,Fine Ocean,22,1,ella@skyloscollective.co.uk,07587855714,https://www.commonobjective.co/fine-ocean,2025-08-22T16:08:02.164240,,,,
46,Bridal lace for wedding gowns,22,1,a.reinhardt@modespitze.de,+493741222554,https://www.commonobjective.co/bridal-lace-for-wedding-gowns,2025-08-22T16:08:02.164242,,,,
47,SEAQUAL INITIATIVE,22,1,carla.navarro@seaqual.com,,https://www.commonobjective.co/seaqual-initiative,2025-08-22T16:08:02.164243,,,,
48,Fuselage Fashion,22,1,o.mitterfellner@westminster.ac.uk,+447526788543,https://www.commonobjective.co/fuselage-fashion,2025-08-22T16:08:02.164245,,,,
49,Threadsmith,22,1,info@threadsmith.in,+919819829700,https://www.commonobjective.co/threadsmith,2025-08-22T16:08:02.164246,,,,
50,Monograms NYC,22,1,info.monogramsnyc@gmail.com,,https://www.commonobjective.co/monograms-nyc,2025-08-22T16:08:02.164247,,,,
51,Mint Clothier,22,1,duygukacar@icloud.com,,https://www.commonobjective.co/mint-clothier,2025-08-22T16:08:02.164249,,,,
52,Shokay,22,1,carol.chyau@shokay.asia,,https://www.commonobjective.co/shokay,2025-08-22T16:08:02.164250,,,,
53,TEQECOpro,22,1,teq.gaba@gmail.com,+79897487422,https://www.commonobjective.co/teqecopro,2025-08-22T16:08:02.164252,,,,
54,Progress Packaging Limited,22,1,simon@progresspackaging.co.uk,,https://www.commonobjective.co/progress-packaging-limited,2025-08-22T16:08:02.164253,,,,
55,RefuSHE,22,1,artisans@refushe.org,,https://www.commonobjective.co/refushe,2025-08-22T16:08:02.164256,,,,
56,papertex™,22,1,hanrui.huang@paper-tex.com,,https://www.commonobjective.co/papertex™,2025-08-22T16:08:02.164260,,,,
57,airkapok,23,1,airkapok_official@outlook.com,,https://www.commonobjective.co/airkapok,2025-08-22T16:08:02.164262,,,,
58,The Bereket Journey,23,1,susanclaire116@gmail.com,+447922596432,https://www.commonobjective.co/the-bereket-journey,2025-08-22T16:08:02.164263,,,,
59,One Stop Bride Shop,23,1,onestopbrideshop.info@gmail.com,,https://www.commonobjective.co/one-stop-bride-shop,2025-08-22T16:08:02.164265,,,,
60,dea ethical clothing ltd,23,1,lynda@dealoves.co.nz,,https://www.commonobjective.co/dea-ethical-clothing-ltd,2025-08-22T16:08:02.164266,,,,
61,GC Apparels PTE ltd,23,1,sales@gcapparels.net,+8615601791640,https://www.commonobjective.co/gc-apparels-pte-ltd,2025-08-22T16:08:02.164268,,,,
62,The Fashion Incubator Middle East,23,1,nsaleh@thefashionincubatorme.com,,https://www.commonobjective.co/the-fashion-incubator-middle-east,2025-08-22T16:08:02.164269,,,,
63,priyanka kakkar,23,1,priyanka.1016@gmail.com,+919810471498,https://www.commonobjective.co/priyanka-kakkar,2025-08-22T16:08:02.164271,,,,
64,Amaserwaa,23,1,amaserwaaseamstress@gmail.com,,https://www.commonobjective.co/amaserwaa,2025-08-22T16:08:02.164272,,,,
65,Planet of the Grapes,23,1,sam@planetofthegrapes.fr,,https://www.commonobjective.co/planet-of-the-grapes,2025-08-22T16:08:02.164274,,,,
66,Ahoy dare,23,1,lilobrown@ahoydare.com,,https://www.commonobjective.co/ahoy-dare,2025-08-22T16:08:02.164275,,,,
67,HYPECHASE,23,1,adrien@hypechase.com,+97690802104,https://www.commonobjective.co/hypechase,2025-08-22T16:08:02.164276,,,,
68,Saturn Cottage Industries,23,1,wynne.lisa@gmail.com,,https://www.commonobjective.co/saturn-cottage-industries,2025-08-22T16:08:02.164278,,,,
69,Missfit Creations,23,1,missfitcreates@gmail.com,07843090684,https://www.commonobjective.co/missfit-creations,2025-08-22T16:08:02.164279,,,,
70,"CHAYOUNG TEXTILE CO., LTD.",23,1,chayoung8909@gmail.com,,https://www.commonobjective.co/chayoung-textile-co-ltd,2025-08-22T16:08:02.164281,,,,
71,FASHION INDIA INTERNATIONAL,23,1,skylightshapes@gmail.com,+919650556366,https://www.commonobjective.co/fashion-india-international,2025-08-22T16:08:02.164282,,,,
72,fabriulous,23,1,samanthaxu0429@163.com,+8613774205020,https://www.commonobjective.co/fabriulous,2025-08-22T16:08:02.164284,,,,
73,Soie Clothing,23,1,roopa@roopapemmaraju.com,,https://www.commonobjective.co/soie-clothing,2025-08-22T16:08:02.164285,,,,
74,The Color Caravan,23,1,swati.seth@thecolorcaravan.com,+919984464000,https://www.commonobjective.co/the-color-caravan,2025-08-22T16:08:02.164287,,,,
75,TAP BETTER BAGS,23,1,pat@tapbetterbags.com,,https://www.commonobjective.co/tap-better-bags,2025-08-22T16:08:02.164288,,,,
76,Be Simple Confecções Lda,23,1,al7240@essr.net,,https://www.commonobjective.co/be-simple-confecções-lda,2025-08-22T16:08:02.164290,,,,
77,Calypso Chile,24,1,marcelacofre@calypsochile.com,,https://www.commonobjective.co/calypso-chile,2025-08-22T16:08:02.164291,,,,
78,Incredible Husk International Group,24,1,tj.lo@inc-husk.com,+85294553801,https://www.commonobjective.co/incredible-husk-international-group,2025-08-22T16:08:02.164293,,,,
79,EarthCare,24,1,earthcareindia@gmail.com,+919846375566,https://www.commonobjective.co/earthcare,2025-08-22T16:08:02.164294,,,,
80,Atelier Karaka,24,1,martajmafonso@hotmail.com,,https://www.commonobjective.co/atelier-karaka,2025-08-22T16:08:02.164296,,,,
81,Yuma Labs,24,1,love@yuma-labs.com,,https://www.commonobjective.co/yuma-labs,2025-08-22T16:08:02.164297,,,,
82,Terre Amoure,24,1,info@hotmamas.org,07717396917,https://www.commonobjective.co/terre-amoure,2025-08-22T16:08:02.164299,,,,
83,Roc,24,1,shah@roc.biz.pk,,https://www.commonobjective.co/roc,2025-08-22T16:08:02.164300,,,,
84,BoChicca,24,1,konkira@yandex.ru,+79062053322,https://www.commonobjective.co/bochicca,2025-08-22T16:08:02.164301,,,,
85,Naturalmat,24,1,ruben@naturalmat.co.uk,,https://www.commonobjective.co/naturalmat,2025-08-22T16:08:02.164303,,,,
86,Dresscode Uniforms ltd.,24,1,m.sherry@dresscodeuniforms.co.uk,,https://www.commonobjective.co/dresscode-uniforms-ltd,2025-08-22T16:08:02.164304,,,,
87,RN OFFICE,24,1,alessa@rnoffice.com.tr,+905332035624,https://www.commonobjective.co/rn-office,2025-08-22T16:08:02.164306,,,,
88,Koozee Crazee,24,1,victoria@koozeecrazee.com,,https://www.commonobjective.co/koozee-crazee,2025-08-22T16:08:02.164307,,,,
89,Africa New Confection,24,1,anc.confection@gmail.com,,https://www.commonobjective.co/africa-new-confection,2025-08-22T16:08:02.164309,,,,
90,PASTEKS TEKSTİL,24,1,dozdemir@pasteks.com,+905332242406,https://www.commonobjective.co/pasteks-teksti̇l,2025-08-22T16:08:02.164311,,,,
91,PRAPTA,24,1,ranimythili18@gmail.com,09866939249,https://www.commonobjective.co/prapta,2025-08-22T16:08:02.164312,,,,
92,Abhinav Impex,24,1,style@abhinavimpex.in,+91 9444581369,https://www.commonobjective.co/abhinav-impex,2025-08-22T16:08:02.164314,,,,
93,SPADEWORKS,24,1,rrk@spadeworks.net,,https://www.commonobjective.co/spadeworks,2025-08-22T16:08:02.164315,,,,
94,Denimtek,24,1,levent@denimtek.com,,https://www.commonobjective.co/denimtek,2025-08-22T16:08:02.164316,,,,
95,Oleatex,24,1,seckinarikan@oleago.com,+905334324545,https://www.commonobjective.co/oleatex,2025-08-22T16:08:02.164319,,,,
96,Lamoral Coatings,25,1,joris.van.tongerloo@lamoral-coatings.com,,https://www.commonobjective.co/lamoral-coatings,2025-08-22T16:08:02.164320,,,,
97,Textures,25,1,texturesclothing@gmail.com,,https://www.commonobjective.co/textures,2025-08-22T16:08:02.164322,,,,
98,christiqueclothing,25,1,christiqueclothing@gmail.com,,https://www.commonobjective.co/christiqueclothing,2025-08-22T16:08:02.164323,,,,
99,EAB Designs,25,1,errica@eab-designs.com,+4917664889666,https://www.commonobjective.co/eab-designs,2025-08-22T16:08:02.164324,,,,
100,Bawa Hope Ltd,25,1,andrew_mutisya@bawahope.com,,https://www.commonobjective.co/bawa-hope-ltd,2025-08-22T16:08:02.164326,,,,
101,CREATIVE DEFINITIONS,25,1,creativedefinitions@gmail.com,,https://www.commonobjective.co/creative-definitions,2025-08-22T16:08:02.164327,,,,
102,Pactics,25,2,dorian@pactics.com; maha.bettaoui@pactics.com,,https://www.commonobjective.co/pactics,2025-08-22T16:08:02.164329,,,,
103,Ecocitex,25,1,daniela.ehijo@ecocitex.com,,https://www.commonobjective.co/ecocitex,2025-08-22T16:08:02.164330,,,,
104,Green Design Link,25,1,e.f.saville@googlemail.com,,https://www.commonobjective.co/green-design-link,2025-08-22T16:08:02.164331,,,,
105,DeCe Clothing,25,1,roo@networks.org.ro,+40736327436,https://www.commonobjective.co/dece-clothing,2025-08-22T16:08:02.164333,,,,
106,Respectlife,25,1,info@respectlife.it,,https://www.commonobjective.co/respectlife,2025-08-22T16:08:02.164334,,,,
107,Sahana Stitchwork,25,1,monishasharif@icloud.com,,https://www.commonobjective.co/sahana-stitchwork,2025-08-22T16:08:02.164336,,,,
108,Antero Vejarano  Joyeria -Asesoria,25,1,anterovejarano1@hotmail.com,,https://www.commonobjective.co/antero-vejarano--joyeria--asesoria,2025-08-22T16:08:02.164337,,,,
109,"Birla Cellulose, Aditya Birla Group",25,1,gaurav.agarwal@adityabirla.com,+912656171256,https://www.commonobjective.co/birla-cellulose-aditya-birla-group,2025-08-22T16:08:02.164339,,,,
110,AlgiKnit,25,1,alex.jannetty@algiknit.com,,https://www.commonobjective.co/algiknit,2025-08-22T16:08:02.164340,,,,
111,AB VILKMA,25,2,emilija.andrasunaite@vilkma.com; laura.zitkeviciute@vilkma.com,,https://www.commonobjective.co/ab-vilkma,2025-08-22T16:08:02.164341,,,,
112,Jeanologia,25,1,mrodriguez@jeanologia.com,,https://www.commonobjective.co/jeanologia,2025-08-22T16:08:02.164343,,,,
113,Do Better Fashion Sourcing,25,1,romina@dobetterfashion.com,,https://www.commonobjective.co/do-better-fashion-sourcing,2025-08-22T16:08:02.164344,,,,
114,ANAMIKA,25,1,mou@naturemela.com,+91 9903151392,https://www.commonobjective.co/anamika,2025-08-22T16:08:02.164346,,,,
115,Ram Exports,25,1,vishaltolambiya26@gmail.com,,https://www.commonobjective.co/ram-exports,2025-08-22T16:08:02.164347,,,,
116,MAES London,26,1,DIANA@MAESLONDON.COM,,https://www.commonobjective.co/maes-london,2025-08-22T16:08:02.164349,,,,
117,Cadel Deinking sl,26,1,pepi.mayordomo@cadeldeinking.com,,https://www.commonobjective.co/cadel-deinking-sl,2025-08-22T16:08:02.164350,,,,
118,The Cotton Textile Company Ltd,26,1,richard@thecottontextilecompany.co.uk,02036332699,https://www.commonobjective.co/the-cotton-textile-company-ltd,2025-08-22T16:08:02.164351,,,,
119,Artesanias Texal,26,1,livia.salazar@artesalinas.ec,+593985196031,https://www.commonobjective.co/artesanias-texal,2025-08-22T16:08:02.164353,,,,
